Attester,Attestations
"<a href=""https://optimistic.etherscan.io/address/0x3c7820f2874b665ac7471f84f5cbd6e12871f4cc"">0x3c7820f2874b665ac7471f84f5cbd6e12871f4cc</a>",313
"<a href=""https://optimistic.etherscan.io/address/0x596a9bcad70d07aff4215b2a17ad36298139fb6c"">0x596a9bcad70d07aff4215b2a17ad36298139fb6c</a>",306
"<a href=""https://optimistic.etherscan.io/address/0x6435dcabb62cb46c9fb94de763cd19a40ff6ce23"">0x6435dcabb62cb46c9fb94de763cd19a40ff6ce23</a>",278
"<a href=""https://optimistic.etherscan.io/address/0x074fbf8d895d5126f96a2c99238e91146237563f"">0x074fbf8d895d5126f96a2c99238e91146237563f</a>",227
"<a href=""https://optimistic.etherscan.io/address/0x929e1b374fb07486c9a64570e5bda99383f48785"">0x929e1b374fb07486c9a64570e5bda99383f48785</a>",209
"<a href=""https://optimistic.etherscan.io/address/0x9f000bfb33b0b63fce685b538b1a8af079b57d93"">cryptobenthic🐠.eth</a>",190
"<a href=""https://optimistic.etherscan.io/address/0x4d5b28d08e8c00e041053b0dc584e00e6997daa3"">0x4d5b28d08e8c00e041053b0dc584e00e6997daa3</a>",150
"<a href=""https://optimistic.etherscan.io/address/0x2a3ce312571612d2ca3a05f4ab5f6abede266271"">0x2a3ce312571612d2ca3a05f4ab5f6abede266271</a>",144
"<a href=""https://optimistic.etherscan.io/address/0x07231e0fd9f668d4aafae7a5d5f432b8e6e4fe51"">0x07231e0fd9f668d4aafae7a5d5f432b8e6e4fe51</a>",126
"<a href=""https://optimistic.etherscan.io/address/0x93e79499b00a2fdaac38e6005b0ad8e88b177346"">0x93e79499b00a2fdaac38e6005b0ad8e88b177346</a>",125
"<a href=""https://optimistic.etherscan.io/address/0x3d648618172d4a9f8c0b7d2aabc21f6f8aca0e48"">0x3d648618172d4a9f8c0b7d2aabc21f6f8aca0e48</a>",118
"<a href=""https://optimistic.etherscan.io/address/0x72cbf736b721d5266aca1e6bcc98c526d0ef2fe0"">0x72cbf736b721d5266aca1e6bcc98c526d0ef2fe0</a>",118
"<a href=""https://optimistic.etherscan.io/address/0xbb2992306c29af86089eb161dcd4add7986b3e2e"">0xbb2992306c29af86089eb161dcd4add7986b3e2e</a>",113
"<a href=""https://optimistic.etherscan.io/address/0x011e70d61c70f8bd30d4e5df49746ca445ec5ab1"">0x011e70d61c70f8bd30d4e5df49746ca445ec5ab1</a>",107
"<a href=""https://optimistic.etherscan.io/address/0x8ed91f4e13ad1d74205a05e2efeb1db5175845a3"">0x8ed91f4e13ad1d74205a05e2efeb1db5175845a3</a>",89
"<a href=""https://optimistic.etherscan.io/address/0x3e4865634ec54dff742e1a7452a456919b8e277b"">0x3e4865634ec54dff742e1a7452a456919b8e277b</a>",85
"<a href=""https://optimistic.etherscan.io/address/0xb41e34e0b3272e88ef9852f4557e98961fdedf19"">0xb41e34e0b3272e88ef9852f4557e98961fdedf19</a>",78
"<a href=""https://optimistic.etherscan.io/address/0x56c246b01fbd17695a8579e8b3f0e4f7a1e9ccfc"">cosmicki.eth</a>",75
"<a href=""https://optimistic.etherscan.io/address/0xa7fd5513a587d4ab8a5235367761552db5077389"">0xa7fd5513a587d4ab8a5235367761552db5077389</a>",70
"<a href=""https://optimistic.etherscan.io/address/0x17c57bd297175e5711ee3daf045252b588f3162f"">brucexu.eth</a>",66
"<a href=""https://optimistic.etherscan.io/address/0x265b05613fef6e489c707d2433f9b922e67a8df9"">mikely.eth</a>",65
"<a href=""https://optimistic.etherscan.io/address/0xd2af5d65b61c6868322d05ac3dbbb7d57b2386f4"">0xd2af5d65b61c6868322d05ac3dbbb7d57b2386f4</a>",62
"<a href=""https://optimistic.etherscan.io/address/0x826976d7c600d45fb8287ca1d7c76fc8eb732030"">divinecomedian.eth</a>",51
"<a href=""https://optimistic.etherscan.io/address/0x5a5d9ab7b1bd978f80909503ebb828879daca9c3"">cerv1.eth</a>",51
"<a href=""https://optimistic.etherscan.io/address/0x87feed6162cb7dfe6b62f64366742349bf4d1b05"">0x87feed6162cb7dfe6b62f64366742349bf4d1b05</a>",50
"<a href=""https://optimistic.etherscan.io/address/0x1848f1a85fcbc349016e63150d1e605c6d7faa0b"">0x1848f1a85fcbc349016e63150d1e605c6d7faa0b</a>",49
"<a href=""https://optimistic.etherscan.io/address/0x6457b4db9575dbc1bac391dae4b239722c4000d0"">0x6457b4db9575dbc1bac391dae4b239722c4000d0</a>",48
"<a href=""https://optimistic.etherscan.io/address/0x7b8b83e68c73aa4f00e6ed1a505de15147ad5764"">b3nnn.eth</a>",48
"<a href=""https://optimistic.etherscan.io/address/0x7a09a2d77a5a59e055ba3754cd2110cf3f20b699"">0x7a09a2d77a5a59e055ba3754cd2110cf3f20b699</a>",44
"<a href=""https://optimistic.etherscan.io/address/0xda70e193b00ca3a5fb455c28d63fe862382b4088"">0xda70e193b00ca3a5fb455c28d63fe862382b4088</a>",41
"<a href=""https://optimistic.etherscan.io/address/0x1cfe6b67a32b37ae0611142f10498c11eec7179e"">0x1cfe6b67a32b37ae0611142f10498c11eec7179e</a>",40
"<a href=""https://optimistic.etherscan.io/address/0xe3cb72a4f7825cb93584579995fccc31c329e26c"">0xe3cb72a4f7825cb93584579995fccc31c329e26c</a>",40
"<a href=""https://optimistic.etherscan.io/address/0xf6937e015d5337f648fe01a03a74c9faa4f90d54"">0xf6937e015d5337f648fe01a03a74c9faa4f90d54</a>",38
"<a href=""https://optimistic.etherscan.io/address/0xa32aecda752cf4ef89956e83d60c04835d4fa867"">kristoferkristofer.eth</a>",38
"<a href=""https://optimistic.etherscan.io/address/0x5d36a202687fd6bd0f670545334bf0b4827cc1e2"">launamu.eth</a>",37
"<a href=""https://optimistic.etherscan.io/address/0x23b7a53ecfd93803c63b97316d7362eae59c55b6"">0x23b7a53ecfd93803c63b97316d7362eae59c55b6</a>",33
"<a href=""https://optimistic.etherscan.io/address/0xa357f90c16453ff33c7c701860da9d0dd9752250"">0xa357f90c16453ff33c7c701860da9d0dd9752250</a>",32
"<a href=""https://optimistic.etherscan.io/address/0xa565ea02caef7d1b6b5b919f3fcf829647ed50dd"">0xa565ea02caef7d1b6b5b919f3fcf829647ed50dd</a>",31
"<a href=""https://optimistic.etherscan.io/address/0x0fb166cddf1387c5b63ffa25721299fd7b068f3f"">dakh.eth</a>",30
"<a href=""https://optimistic.etherscan.io/address/0x0ea26051f7657d59418da186137141cea90d0652"">wasabinetwork.eth</a>",28
"<a href=""https://optimistic.etherscan.io/address/0xb03e094e643a50e145e804b35787c28292e6afe4"">servais.eth</a>",28
"<a href=""https://optimistic.etherscan.io/address/0xe80d353c496b87876cfb29df4272a72cd8fe278a"">0xe80d353c496b87876cfb29df4272a72cd8fe278a</a>",28
"<a href=""https://optimistic.etherscan.io/address/0x53dcaf729e11022d5b8949946f6601211c662b38"">0x53dcaf729e11022d5b8949946f6601211c662b38</a>",27
"<a href=""https://optimistic.etherscan.io/address/0x11919eee995df03df7b0cf919d7832562624ac62"">0x11919eee995df03df7b0cf919d7832562624ac62</a>",27
"<a href=""https://optimistic.etherscan.io/address/0x136710601e2a68ec56ca06debd108b40c70615d9"">0x136710601e2a68ec56ca06debd108b40c70615d9</a>",26
"<a href=""https://optimistic.etherscan.io/address/0x7adbc3dee624a5d09088bb5aa0eddc529d5238c9"">0x7adbc3dee624a5d09088bb5aa0eddc529d5238c9</a>",24
"<a href=""https://optimistic.etherscan.io/address/0xaa3600788b72863ff51c8f0db5f10bb65fbfeab4"">lanadingwall.eth</a>",24
"<a href=""https://optimistic.etherscan.io/address/0x999e136c7575396bad7ed1c726042908a43f666c"">0x999e136c7575396bad7ed1c726042908a43f666c</a>",23
"<a href=""https://optimistic.etherscan.io/address/0x8238b86873529f76b0969374dfbad737ae9de18d"">0x8238b86873529f76b0969374dfbad737ae9de18d</a>",23
"<a href=""https://optimistic.etherscan.io/address/0xe2a45ca9ec5780fc389fbd8991980397b8b470af"">badges.zenbit.eth</a>",23
"<a href=""https://optimistic.etherscan.io/address/0x9eab4973c90404365b66bdead5cd38149563d549"">0x9eab4973c90404365b66bdead5cd38149563d549</a>",22
"<a href=""https://optimistic.etherscan.io/address/0x6bccf9a2b767fbbec16763e385258eae6af16e44"">0x6bccf9a2b767fbbec16763e385258eae6af16e44</a>",22
"<a href=""https://optimistic.etherscan.io/address/0x8494598303126d63bac84995745c98862036d55f"">0x8494598303126d63bac84995745c98862036d55f</a>",22
"<a href=""https://optimistic.etherscan.io/address/0x284fca6673cfa7c3a9c8e611183b734191270c59"">0x284fca6673cfa7c3a9c8e611183b734191270c59</a>",21
"<a href=""https://optimistic.etherscan.io/address/0xf4f669a9809810590476e3c6b4f846c95d810381"">0xf4f669a9809810590476e3c6b4f846c95d810381</a>",21
"<a href=""https://optimistic.etherscan.io/address/0x6d465d2081b799770d0ce7e755d8db1665903ffb"">ariiellus.eth</a>",21
"<a href=""https://optimistic.etherscan.io/address/0x27c025d832a35188e0d83f13d79f42b028f4c420"">0x27c025d832a35188e0d83f13d79f42b028f4c420</a>",21
"<a href=""https://optimistic.etherscan.io/address/0x73a6748c4aeb09b7783d1d5aec64966760e761e3"">0x73a6748c4aeb09b7783d1d5aec64966760e761e3</a>",21
"<a href=""https://optimistic.etherscan.io/address/0x77949d4bcb0861bdfce23d81e2ca2efcf90604b7"">0x77949d4bcb0861bdfce23d81e2ca2efcf90604b7</a>",21
"<a href=""https://optimistic.etherscan.io/address/0xf4539d7bc20223ccd898da51eee676f727c03363"">0xf4539d7bc20223ccd898da51eee676f727c03363</a>",21
"<a href=""https://optimistic.etherscan.io/address/0x689e997e94166c55243febc20a1bffe38eafb167"">0x689e997e94166c55243febc20a1bffe38eafb167</a>",21
"<a href=""https://optimistic.etherscan.io/address/0xcb772b9612c584d3f478ea81ef6c8120ee84e3b1"">0xcb772b9612c584d3f478ea81ef6c8120ee84e3b1</a>",21
"<a href=""https://optimistic.etherscan.io/address/0xd03fb61dee3107d00ccb91012aa1bb43539840c7"">0xd03fb61dee3107d00ccb91012aa1bb43539840c7</a>",21
"<a href=""https://optimistic.etherscan.io/address/0x0feaf2ef657ab343e527f2f0793797010ad823aa"">0x0feaf2ef657ab343e527f2f0793797010ad823aa</a>",21
"<a href=""https://optimistic.etherscan.io/address/0xe27a079bce042d7163a47eb35d591d241ea7196b"">0xe27a079bce042d7163a47eb35d591d241ea7196b</a>",21
"<a href=""https://optimistic.etherscan.io/address/0x447b52a144d8b120aef241df356ca7f9acf30149"">0x447b52a144d8b120aef241df356ca7f9acf30149</a>",21
"<a href=""https://optimistic.etherscan.io/address/0x7a7f19285c6f67abb2a4dd8f4e60e537e25b2b97"">0x7a7f19285c6f67abb2a4dd8f4e60e537e25b2b97</a>",21
"<a href=""https://optimistic.etherscan.io/address/0x6268c8a62e0d86d7ba622efc5316c2732be296bd"">0x6268c8a62e0d86d7ba622efc5316c2732be296bd</a>",21
"<a href=""https://optimistic.etherscan.io/address/0xc8c5dddcbf5a36125097827c937a9abc9afaf0ca"">0xc8c5dddcbf5a36125097827c937a9abc9afaf0ca</a>",21
"<a href=""https://optimistic.etherscan.io/address/0x1a65101be11a79c2820da1cd63e4ba3c92d071c4"">0x1a65101be11a79c2820da1cd63e4ba3c92d071c4</a>",21
"<a href=""https://optimistic.etherscan.io/address/0xfc31a40bbe9e4ebdea43291b604976bb6aad8854"">0xfc31a40bbe9e4ebdea43291b604976bb6aad8854</a>",21
"<a href=""https://optimistic.etherscan.io/address/0x72260e49a81d31758192f1729415d51d1575060a"">0x72260e49a81d31758192f1729415d51d1575060a</a>",21
"<a href=""https://optimistic.etherscan.io/address/0xaa8752dd6dc82463b926b7bc32cfc46f32e267fa"">0xaa8752dd6dc82463b926b7bc32cfc46f32e267fa</a>",21
"<a href=""https://optimistic.etherscan.io/address/0xc40e1aa8f9b2a4d3d400613adb1f3ba3ed09d757"">0xc40e1aa8f9b2a4d3d400613adb1f3ba3ed09d757</a>",21
"<a href=""https://optimistic.etherscan.io/address/0xa63b3eab776dfe5f7a50b2513f289c10e1769598"">0xa63b3eab776dfe5f7a50b2513f289c10e1769598</a>",21
"<a href=""https://optimistic.etherscan.io/address/0x7c9ed75c6d3496b15dc411dbbf3e8f343625d81b"">0x7c9ed75c6d3496b15dc411dbbf3e8f343625d81b</a>",21
"<a href=""https://optimistic.etherscan.io/address/0x22b01904b166b8d3e4cc98b032ba3fd1537dedb6"">0x22b01904b166b8d3e4cc98b032ba3fd1537dedb6</a>",21
"<a href=""https://optimistic.etherscan.io/address/0x3ce3abc95a25652deca5696ca7d5f7fe5d29add4"">0x3ce3abc95a25652deca5696ca7d5f7fe5d29add4</a>",21
"<a href=""https://optimistic.etherscan.io/address/0x7fc80fad32ec41fd5cfcc14eee9c31953b6b4a8b"">brichis.eth</a>",20
"<a href=""https://optimistic.etherscan.io/address/0x450beb92d9a472a76f5ff6aec5af793a084eac9e"">0x450beb92d9a472a76f5ff6aec5af793a084eac9e</a>",20
"<a href=""https://optimistic.etherscan.io/address/0x1ae4c55d84120518ed10a979a2cf30968636dd46"">0x1ae4c55d84120518ed10a979a2cf30968636dd46</a>",19
"<a href=""https://optimistic.etherscan.io/address/0x888811ac3dc01628ebd22b1aa01a35825ad997e8"">0x888811ac3dc01628ebd22b1aa01a35825ad997e8</a>",19
"<a href=""https://optimistic.etherscan.io/address/0x3d97485e5b645ae3414c8bf791009cd45fbedda5"">0x3d97485e5b645ae3414c8bf791009cd45fbedda5</a>",19
"<a href=""https://optimistic.etherscan.io/address/0xd57255595f7e9840ac8064bdb3534225ad2b56c6"">0xd57255595f7e9840ac8064bdb3534225ad2b56c6</a>",19
"<a href=""https://optimistic.etherscan.io/address/0xd82bdb8391109f8bad393ff2cda9e7cd56f8239c"">0xd82bdb8391109f8bad393ff2cda9e7cd56f8239c</a>",19
"<a href=""https://optimistic.etherscan.io/address/0xba6dff87620cbd529fa7a0f9b5188240cac64e67"">0xba6dff87620cbd529fa7a0f9b5188240cac64e67</a>",19
"<a href=""https://optimistic.etherscan.io/address/0x839395e20bbb182fa440d08f850e6c7a8f6f0780"">griff.eth</a>",19
"<a href=""https://optimistic.etherscan.io/address/0x8d5cdc7d6cabc13bf982f3c39f3fa5bcac7da59b"">0x8d5cdc7d6cabc13bf982f3c39f3fa5bcac7da59b</a>",19
"<a href=""https://optimistic.etherscan.io/address/0xc4fc57dedd2463314a3fd2dbadb86b4404c257e5"">impactoverprofit.eth</a>",19
"<a href=""https://optimistic.etherscan.io/address/0xe432a8314d971441ad7700e8b45d66cc326ce517"">quiker.eth</a>",18
"<a href=""https://optimistic.etherscan.io/address/0xc841d6ddf66467af551b35218c0c2e22f9c14b48"">optimismcn.eth</a>",18
"<a href=""https://optimistic.etherscan.io/address/0x405bb3cdf23833bb27bad6629b7cd4f01688235f"">0x405bb3cdf23833bb27bad6629b7cd4f01688235f</a>",18
"<a href=""https://optimistic.etherscan.io/address/0xdd436d08af550c2a033eac00da034e8c569e74c3"">0xdd436d08af550c2a033eac00da034e8c569e74c3</a>",18
"<a href=""https://optimistic.etherscan.io/address/0x6888425d5637b84c9118a55b0d282423ea7ddaf3"">0x6888425d5637b84c9118a55b0d282423ea7ddaf3</a>",18
"<a href=""https://optimistic.etherscan.io/address/0xd1b8db70ded72db850713b2ce7e1a4ffafad95d1"">pairwise.eth</a>",17
"<a href=""https://optimistic.etherscan.io/address/0xf37a96aaec6117c76f7c69f7aba5346793ea3f53"">0xf37a96aaec6117c76f7c69f7aba5346793ea3f53</a>",17
"<a href=""https://optimistic.etherscan.io/address/0x6e9544ad1d5ea3ad8232f8aadaa0b8bc357e6f6c"">0x6e9544ad1d5ea3ad8232f8aadaa0b8bc357e6f6c</a>",16
"<a href=""https://optimistic.etherscan.io/address/0x42ee5e02ac1c458176fa99bf3838e942585e7c8e"">0x42ee5e02ac1c458176fa99bf3838e942585e7c8e</a>",16
"<a href=""https://optimistic.etherscan.io/address/0x22b842e48b28880e28b7ccf2ebc940df458731f9"">0x22b842e48b28880e28b7ccf2ebc940df458731f9</a>",16
"<a href=""https://optimistic.etherscan.io/address/0x222cf246a3d56d61030ca49f5e6ffd6c20c3dc4f"">0x222cf246a3d56d61030ca49f5e6ffd6c20c3dc4f</a>",16
"<a href=""https://optimistic.etherscan.io/address/0xf01dd015bc442d872275a79b9cae84a6ff9b2a27"">chomtana.eth</a>",16
"<a href=""https://optimistic.etherscan.io/address/0xab87eb50280a340b42f4eab31db90714b39fe687"">qqqd.eth</a>",15
"<a href=""https://optimistic.etherscan.io/address/0x701d0ecb3ba780de7b2b36789aec4493a426010a"">geleeroyale.eth</a>",15
"<a href=""https://optimistic.etherscan.io/address/0x43691f6a2c0ef873955a350aef5812e4cd5a7519"">0x43691f6a2c0ef873955a350aef5812e4cd5a7519</a>",15
"<a href=""https://optimistic.etherscan.io/address/0x7ace0b7a0cfb2980aa25310af5c2602144d58db2"">amanwithwings.eth</a>",15
"<a href=""https://optimistic.etherscan.io/address/0xea2d97ce7c18cf20613ed8eee4d0f1a8b4493368"">0xea2d97ce7c18cf20613ed8eee4d0f1a8b4493368</a>",15
"<a href=""https://optimistic.etherscan.io/address/0x1805707dd1874c4147bea492ace0543b9e7b4dba"">0xshanni.eth</a>",15
"<a href=""https://optimistic.etherscan.io/address/0xdc1125746a35a25f14a6ab0e9bd65d440db58875"">0xdc1125746a35a25f14a6ab0e9bd65d440db58875</a>",14
"<a href=""https://optimistic.etherscan.io/address/0xd433072454eeec557f9f92000dccbfb5fdd6edd5"">0xd433072454eeec557f9f92000dccbfb5fdd6edd5</a>",14
"<a href=""https://optimistic.etherscan.io/address/0xdb635fc94e63ae6112927cca6b7f76af4a8f728b"">0xdb635fc94e63ae6112927cca6b7f76af4a8f728b</a>",14
"<a href=""https://optimistic.etherscan.io/address/0xa4d506434445bb7303ea34a07bc38484cdc64a95"">0xa4d506434445bb7303ea34a07bc38484cdc64a95</a>",14
"<a href=""https://optimistic.etherscan.io/address/0x676f7ffa9164785faa92be0aa1d66933c105e8c4"">0x676f7ffa9164785faa92be0aa1d66933c105e8c4</a>",14
"<a href=""https://optimistic.etherscan.io/address/0x3fad8bcd2aea732d02a203c156b19205253f2a06"">rathermercurial.eth</a>",14
"<a href=""https://optimistic.etherscan.io/address/0xdeb9e5915db81011c549799a9ea37ede4d72efba"">onegirlarmy.eth</a>",13
"<a href=""https://optimistic.etherscan.io/address/0x70e2ee063fee0a7587b537966b0f44c80986a1d7"">0x70e2ee063fee0a7587b537966b0f44c80986a1d7</a>",13
"<a href=""https://optimistic.etherscan.io/address/0x6445add3d30fdacf8cb0b53529a6265c9e4f8a70"">0x6445add3d30fdacf8cb0b53529a6265c9e4f8a70</a>",13
"<a href=""https://optimistic.etherscan.io/address/0xee1360340367fd46510728139e9b1bb59bd0a840"">0xee1360340367fd46510728139e9b1bb59bd0a840</a>",13
"<a href=""https://optimistic.etherscan.io/address/0x2f6b67a9e7ca9f025b786e455261efe3c65ff7e8"">cryptoheri.eth</a>",13
"<a href=""https://optimistic.etherscan.io/address/0x8f51dc0791cddddce08052fff939eb7cf0c17856"">juancamp1987.eth</a>",13
"<a href=""https://optimistic.etherscan.io/address/0x302e2a0d4291ac14aa1160504ca45a0a1f2e7a5c"">0x302e2a0d4291ac14aa1160504ca45a0a1f2e7a5c</a>",13
"<a href=""https://optimistic.etherscan.io/address/0xe8bc38f465e6e1c929c25d2fb3bf62028bc180be"">0xe8bc38f465e6e1c929c25d2fb3bf62028bc180be</a>",13
"<a href=""https://optimistic.etherscan.io/address/0xcd192b61a8dd586a97592555c1f5709e032f2505"">0xcd192b61a8dd586a97592555c1f5709e032f2505</a>",13
"<a href=""https://optimistic.etherscan.io/address/0x5eafdd370df3037c04b4d1b165424c00ea6d483f"">0x5eafdd370df3037c04b4d1b165424c00ea6d483f</a>",12
"<a href=""https://optimistic.etherscan.io/address/0x9f75582d2be13b5ee454161ee394daada8b39efa"">0x9f75582d2be13b5ee454161ee394daada8b39efa</a>",12
"<a href=""https://optimistic.etherscan.io/address/0x7916dba3a610b020d77c0ccfd4bd717ee400a5f2"">mmurthy.eth</a>",12
"<a href=""https://optimistic.etherscan.io/address/0x516cafd745ec780d20f61c0d71fe258ea765222d"">nintynick.eth</a>",12
"<a href=""https://optimistic.etherscan.io/address/0x2e11213f222fb5b4924fac7078a6fa0d0ab42a97"">0x2e11213f222fb5b4924fac7078a6fa0d0ab42a97</a>",12
"<a href=""https://optimistic.etherscan.io/address/0x68108902de3a5031197a6eb3b74b3b033e8e8e4d"">ethresearch.eth</a>",12
"<a href=""https://optimistic.etherscan.io/address/0xed35ba3b8e6c6962346aa511eed827207ce767d3"">0xed35ba3b8e6c6962346aa511eed827207ce767d3</a>",12
"<a href=""https://optimistic.etherscan.io/address/0x2d4ac9c27fffcd87d7fa2619f537c7eb0db96fb7"">0x2d4ac9c27fffcd87d7fa2619f537c7eb0db96fb7</a>",12
"<a href=""https://optimistic.etherscan.io/address/0x158ea94e633922cc32ebd8735b87022bfde7084f"">0x158ea94e633922cc32ebd8735b87022bfde7084f</a>",12
"<a href=""https://optimistic.etherscan.io/address/0x2f041ac52504c5cfe88d4d69dc629ffce6b45293"">0x2f041ac52504c5cfe88d4d69dc629ffce6b45293</a>",12
"<a href=""https://optimistic.etherscan.io/address/0x0d3f6ec061a5565512c2bb04897d7190c88e822c"">0x0d3f6ec061a5565512c2bb04897d7190c88e822c</a>",11
"<a href=""https://optimistic.etherscan.io/address/0xc858d2f0392df62f23b65c28a670980edd66e3fc"">0xc858d2f0392df62f23b65c28a670980edd66e3fc</a>",11
"<a href=""https://optimistic.etherscan.io/address/0x8b529ef78046008f9d1fbc91c7407030de96ee32"">blockshard.eth</a>",11
"<a href=""https://optimistic.etherscan.io/address/0xe89d01179422345cb9f586a7a0791522f9ae802e"">0xe89d01179422345cb9f586a7a0791522f9ae802e</a>",11
"<a href=""https://optimistic.etherscan.io/address/0xecb4c1245665e8a1f43826355aab0dd6bf336e05"">zenbit.eth</a>",11
